id,name,origin,yearOrigin,description,practices,parentTraditions,timeCommitment,guidanceNeeded,accessibility,adhd,depression,anxiety,trauma,focus,metacognition,insight,compassion,communication,empathy,bodyAwareness,emotionalRegulation,researchSupport,citations
mussar,Mussar,Jewish,-500,Character development through systematic examination of middot (ethical qualities),Daily review|Text study|Journaling|Accountability partnerships,,15-30 min daily,Medium,High,3,4,4,3,4,5,4,5,4,5,2,4,Medium,"The Mussar Institute - Longitudinal studies on character change|Morinis, A. (2007). Everyday Holiness"
focusing,Focusing,Western Phenomenology,1978,Body-centered awareness practice for accessing implicit bodily knowing,Felt sense|Clearing space|Getting a handle|Resonating,rogerian-therapy,10-20 min sessions,Low-Medium,High,3,4,5,5,3,4,5,4,3,4,5,5,High,"Gendlin, E.T. (1996). Focusing-Oriented Psychotherapy|Hendricks, M.N. (2009). Research Basis of Focusing-Oriented/Experiential Psychotherapy"
jhana,Jhana Meditation,Buddhist (Theravada),-500,Systematic cultivation of concentration states with distinct phenomenological characteristics,Breath meditation|Metta|Whole-body awareness|Pleasure cultivation,buddhism,30-90 min daily,High,Medium,5,4,3,2,5,4,3,3,2,3,4,4,Medium,Leigh Brasington - Jhana practitioner surveys|Right Concentration by Leigh Brasington
open-awareness,Open Awareness,Tibetan Buddhism / Dzogchen,800,Non-directive awareness of present experience without focusing on specific objects,Choiceless awareness|Sky-gazing|Natural rest|Panoramic awareness,buddhism|dzogchen,20-40 min daily,Medium-High,Medium,2,4,4,3,3,5,5,4,3,4,3,4,Medium,"Travis, F., & Shear, J. (2010). Focused attention, open monitoring and automatic self-transcending|Lutz et al. (2008). Attention regulation and monitoring in meditation"
vipassana,Vipassana,Buddhist (Theravada),-500,Insight meditation observing arising and passing of phenomena to understand impermanence,Body scanning|Noting|Breath awareness|Mindfulness of mind,buddhism,30-60 min daily,Medium,High,4,5,5,3,4,5,5,4,3,4,5,5,Very High,"Goleman, D., & Davidson, R.J. (2017). Altered Traits|Khoury et al. (2013). Mindfulness-based therapy: A comprehensive meta-analysis"
metta,Metta (Loving-Kindness),Buddhist,-500,Systematic cultivation of goodwill and compassion toward self and others,Phrase repetition|Visualization|Extending wishes progressively,buddhism,15-30 min daily,Low,Very High,2,5,4,4,3,3,3,5,5,5,2,4,Very High,Hofmann et al. (2011). Loving-kindness and compassion meditation|Zeng et al. (2015). The effect of loving-kindness meditation on positive emotions
idp,Intentional Development Practice (IDP),Developmental Psychology,2010,Structured practice for advancing developmental stages through deliberate practice,Perspective-taking|Journaling|Dialectical thinking|Horizontal skill building,adult-development,20-40 min daily,Medium-High,Medium,3,3,3,2,4,5,5,4,5,5,2,4,Medium,"Kegan, R. (1982). The Evolving Self|Deliberate practice in adult development research"
circling,Circling,Humanistic Psychology,2005,Relational mindfulness practice focusing on authentic present-moment connection,Present-moment awareness|Owning experience|Surrendering to impact|Staying in contact,encounter-groups|gestalt,90-180 min sessions,High,Medium,2,4,3,3,3,5,5,5,5,5,4,4,Low,Phenomenological reports from Circling Institute|Qualitative studies on relational practices
somatic-experiencing,Somatic Experiencing,Trauma Therapy,1970,Body-based trauma resolution through tracking sensations and completing defensive responses,Pendulation|Titration|Tracking sensations|Resource building,body-psychotherapy,Sessions with therapist + daily practice,Very High,Low-Medium,3,4,5,5,3,3,4,3,3,3,5,5,High,"Levine, P. (1997). Waking the Tiger|Payne, P., Levine, P. A., & Crane-Godreau, M. A. (2015). Somatic experiencing"
stoicism,Stoicism,Ancient Greek Philosophy,-300,Cognitive reframing and virtue cultivation through examining judgments and practicing preferred indifference,Negative visualization|Dichotomy of control|View from above|Evening review,ancient-philosophy,15-30 min daily,Low,Very High,3,4,5,3,4,5,4,3,4,3,1,5,High,"Robertson, D. (2019). Stoicism and the Art of Happiness|Modern CBT research showing Stoic influence"
zen,Zen (Zazen),Japanese Buddhism,1200,Sitting meditation emphasizing present-moment awareness and direct experience beyond conceptual thinking,Breath counting|Shikantaza (just sitting)|Koan practice|Walking meditation,buddhism,25-40 min daily,Medium-High,High,4,4,4,3,5,5,5,4,3,4,4,4,High,Murata et al. (2004). EEG study of Zen meditation|Chiesa & Malinowski (2011). Mindfulness-based approaches
tm,Transcendental Meditation (TM),Vedic Tradition,1955,Mantra-based meditation for accessing transcendent consciousness,Silent mantra repetition|Effortless attention,vedanta,20 min twice daily,High,Medium,4,4,5,3,4,3,3,3,2,3,2,4,Very High,Orme-Johnson & Barnes (2014). Effects of TM on cardiovascular health|Travis & Arenander (2006). Cross-sectional and longitudinal study of TM
mbsr,Mindfulness-Based Stress Reduction (MBSR),Clinical Mindfulness,1979,"Structured 8-week program combining vipassana, body scan, and yoga for stress reduction",Body scan|Sitting meditation|Mindful yoga|Walking meditation,vipassana,45 min daily + weekly class,Medium,Very High,3,5,5,4,4,4,4,4,3,4,5,5,Very High,Kabat-Zinn (1990). Full Catastrophe Living|Grossman et al. (2004). Meta-analysis of MBSR
mbct,Mindfulness-Based Cognitive Therapy (MBCT),Clinical Psychology,1995,Integration of mindfulness and cognitive therapy for depression relapse prevention,Mindfulness meditation|Cognitive reframing|Decentering from thoughts,mbsr|cbt,8-week program + daily practice,High,High,3,5,5,3,4,5,5,3,3,3,4,5,Very High,Segal et al. (2002). Mindfulness-Based Cognitive Therapy|Piet & Hougaard (2011). MBCT meta-analysis
tonglen,Tonglen (Giving and Receiving),Tibetan Buddhism,1000,Compassion practice involving visualized exchange of suffering for wellbeing,Breath-based visualization|Taking in suffering|Sending out relief,buddhism,15-30 min daily,Medium,Medium,2,4,3,3,3,4,4,5,4,5,3,4,Low,Jinpa (2015). Compassion cultivation research|Phenomenological studies of Tibetan practices
shamatha,Shamatha (Calm Abiding),Buddhist,-500,Concentration practice developing stable attention and mental calm,Breath focus|Visual object meditation|Progressive settling,buddhism,20-60 min daily,Medium,High,5,4,4,2,5,4,3,3,2,3,3,4,High,MacLean et al. (2010). Intensive meditation training improves attention|Wallace (2006). The Attention Revolution
psilocybin-therapy,Psilocybin-Assisted Psychotherapy,Psychedelic Medicine,2000,"Therapeutic use of psilocybin with psychological support for depression, anxiety, and existential distress",Preparation sessions|Supported psychedelic experience|Integration therapy,,1-3 sessions + integration,Very High,Low,2,5,5,4,2,5,5,4,3,5,4,4,Very High,Carhart-Harris et al. (2016). Psilocybin for treatment-resistant depression|Griffiths et al. (2016). Psilocybin for cancer-related anxiety
mdma-therapy,MDMA-Assisted Psychotherapy,Psychedelic Medicine,2000,MDMA-facilitated therapy for PTSD combining empathogenic effects with trauma processing,Trauma-focused therapy|Supported MDMA sessions|Integration work,,3 sessions + preparation/integration,Very High,Low,1,4,4,5,2,4,5,5,5,5,4,5,Very High,Mithoefer et al. (2018). MDMA for PTSD|Mitchell et al. (2021). Phase 3 trial of MDMA
ayahuasca,Ayahuasca Ceremonies,Amazonian Shamanism,-1000,"Traditional plant medicine ceremony for healing, insight, and spiritual connection",Ceremonial drinking|Guided visualization|Group ceremony|Integration,shamanism,Full night ceremonies + integration,Very High,Low,2,5,4,4,2,5,5,4,3,5,4,4,Medium,Palhano-Fontes et al. (2019). Ayahuasca for treatment-resistant depression|Frecska et al. (2016). Therapeutic potential of ayahuasca
ketamine-therapy,Ketamine-Assisted Psychotherapy,Psychedelic Medicine,2000,Low-dose ketamine with psychotherapy for depression and trauma,Ketamine infusion/lozenge|Psychotherapeutic support|Integration sessions,,Weekly sessions for 6-12 weeks,Very High,Medium,2,5,4,4,2,4,4,3,3,4,3,4,Very High,Zarate et al. (2006). Ketamine for major depression|Daly et al. (2018). Efficacy of esketamine nasal spray
ifs,Internal Family Systems (IFS),Psychotherapy,1990,Parts-based therapy accessing compassionate Self to heal internal conflicts,Parts identification|Unburdening|Self-leadership|Internal dialogue,family-therapy,Weekly therapy sessions,High,Medium,3,5,5,5,3,5,5,5,4,5,3,5,High,Schwartz & Sweezy (2020). Internal Family Systems Therapy|Shadick et al. (2013). RCT of IFS for rheumatoid arthritis
emdr,EMDR (Eye Movement Desensitization and Reprocessing),Trauma Therapy,1989,Bilateral stimulation to process traumatic memories and reduce distress,Eye movements|Memory reprocessing|Resource installation,,8-12 therapy sessions,Very High,High,2,4,5,5,2,3,4,3,2,3,3,5,Very High,Shapiro (2001). Eye Movement Desensitization and Reprocessing|Chen et al. (2014). EMDR for PTSD meta-analysis
act,Acceptance and Commitment Therapy (ACT),Clinical Psychology,1986,"Psychological flexibility through acceptance, mindfulness, and values-based action",Cognitive defusion|Values clarification|Committed action|Mindfulness,cbt,Weekly therapy + daily practice,Medium-High,High,4,5,5,4,4,5,5,4,4,4,3,5,Very High,Hayes et al. (2006). Acceptance and Commitment Therapy|A-Tjak et al. (2015). Meta-analysis of ACT effectiveness
dbt,Dialectical Behavior Therapy (DBT),Clinical Psychology,1993,Skills-based therapy combining CBT and mindfulness for emotion regulation,Mindfulness|Distress tolerance|Emotion regulation|Interpersonal effectiveness,cbt|zen,Weekly individual + group therapy,Very High,Medium,4,5,5,4,4,4,4,4,5,4,3,5,Very High,Linehan (1993). Cognitive-Behavioral Treatment of Borderline Personality Disorder|Panos et al. (2014). Meta-analysis of DBT
tre,Trauma Release Exercises (TRE),Somatic Therapy,2005,Neurogenic tremoring to release tension and trauma from the nervous system,Muscle fatigue exercises|Neurogenic tremors|Self-regulation,body-psychotherapy,15-30 min 2-3x weekly,Medium,Very High,2,4,5,5,2,2,3,2,2,2,5,5,Medium,Berceli et al. (2005). TRE for tension and trauma|Clinical case studies and pilot research
